x,y,calls,min
2.2484917008197608e-13,-7.157165835187046e-18,24,2.2484917008197608e-13
62.74818078855412,-0.9211483054953371,56,62.74818078855412
2.2484900469695278e-13,-7.157165835187046e-18,24,2.2484900469695278e-13
62.74817866112312,-0.921148305495275,32,62.74817866112312
-7.860417121034429e-08,-7.033592813590042e-18,56,-7.860417121034429e-08
2.253357618794999e-13,-7.157165835187042e-18,24,2.253357618794999e-13
e,r,r,o
62.74818725637504,-0.9211483054946908,80,62.74818725637504
e,r,r,o
62.74818075618526,-0.921148305495337,72,62.74818075618526
e,r,r,o
2.2500196802342182e-13,-7.157165835187045e-18,24,2.2500196802342182e-13
-1.596198809634793e-06,4.379986131853838e-17,96,-1.596198809634793e-06
62.748180614342004,-0.9211483054953371,64,62.748180614342004
62.748180654485495,-0.921148305495337,72,62.748180654485495
e,r,r,o
2.2684043231102056e-13,-7.15716583518713e-18,24,2.2684043231102056e-13
2.2484854838471414e-13,-7.157165835187046e-18,24,2.2484854838471414e-13
2.2484931830166415e-13,-7.157165835187046e-18,24,2.2484931830166415e-13
2.2500196802342182e-13,-7.157165835187045e-18,24,2.2500196802342182e-13
62.74817835726381,-0.9211483054952551,72,62.74817835726381
-4.893539886719145e-06,4.71777530635207e-16,104,-4.893539886719145e-06
-3.06746158626094e-07,-5.275298959686692e-18,48,-3.06746158626094e-07
2.2483886988194467e-13,-7.157165835187046e-18,24,2.2483886988194467e-13
1.0899909044060722e-12,-7.157165835172127e-18,24,1.0899909044060722e-12
-7.860417121034429e-08,-7.033592813590042e-18,56,-7.860417121034429e-08
62.74818725637504,-0.9211483054946908,80,62.74818725637504
2.2482183261036515e-13,-7.157165835187046e-18,24,2.2482183261036515e-13
2.2484900469695278e-13,-7.157165835187046e-18,24,2.2484900469695278e-13
62.74818046894108,-0.9211483054953363,56,62.74818046894108
e,r,r,o
62.74817786638638,-0.9211483054952169,40,62.74817786638638
62.74818064744906,-0.9211483054953372,56,62.74818064744906
