x,y,calls,min
0,0,62,6.838641551200295e-06
56.999993706951614,0,50,56.999993706951614
0,0,60,6.525603916270261e-06
0,0,58,6.427003698740627e-06
58.999993706951614,0,50,58.999993706951614
0,0,58,7.804218777042196e-06
62.748179214646406,0,60,62.748179214646406
0,0,64,8.34465370499915e-06
62.74818192960862,0,62,62.74818192960862
62.74818315705713,0,62,62.74818315705713
0,0,56,9.656316828211897e-06
0,0,58,8.722362162576565e-06
0,0,56,8.170729623871604e-06
0,0,58,7.345147084275005e-06
0,0,60,8.795379191494698e-06
0,0,56,7.427936021701461e-06
0,0,54,8.413057064564205e-06
0,0,50,6.293048384102501e-06
62.74817947471166,0,62,62.74817947471166
0,0,54,7.211191769626461e-06
0,0,52,7.778635588424615e-06
62.74818052238595,0,50,62.74818052238595
62.74817797221286,0,54,62.74817797221286
0,0,50,6.293048384102501e-06
62.7481780328082,0,68,62.7481780328082
62.74817978209024,0,60,62.74817978209024
0,0,62,7.189341117928516e-06
0,0,56,9.656316828211897e-06
62.74817811299228,0,56,62.74817811299228
62.74817751231494,0,60,62.74817751231494
62.748180349534046,0,60,62.748180349534046
0,0,52,9.723294485530767e-06
0,0,58,8.263290469809377e-06
0,0,56,8.170729623871604e-06
62.74818315705713,0,62,62.74818315705713
62.74817978209024,0,60,62.74817978209024
62.74817712212989,0,68,62.74817712212989
0,0,62,6.838641551200295e-06
0,0,62,7.715390468020845e-06
0,0,58,7.345147084275005e-06
56.999993706951614,0,50,56.999993706951614
62.748179026275466,0,68,62.748179026275466
62.748183754196965,0,60,62.748183754196965
51.999993706951614,0,50,51.999993706951614
62.74817959857948,0,56,62.74817959857948
0,0,60,9.93026682910692e-06
0,0,62,6.312592201107964e-06
62.74817881930308,0,68,62.74817881930308
0,0,60,9.93026682910692e-06
62.74818052238595,0,50,62.74818052238595
0,0,60,9.079101100897759e-06
62.74818455985539,0,62,62.74818455985539
0,0,60,7.660491553882479e-06
0,0,60,9.079101100897759e-06
0,0,62,6.487941984472074e-06
62.748179214646406,0,60,62.748179214646406
0,0,60,6.525603916270261e-06
53.999993706951614,0,50,53.999993706951614
62.748181261576725,0,68,62.748181261576725
0,0,52,9.723294485530767e-06
62.74818438450559,0,62,62.74818438450559
0,0,58,9.640505548110945e-06
0,0,60,8.795379191494698e-06
58.999993706951614,0,50,58.999993706951614
62.74818188249378,0,68,62.74818188249378
62.74818052238595,0,50,62.74818052238595
0,0,58,7.804218777042196e-06
0,0,56,9.656316828211897e-06
0,0,62,6.312592201107964e-06
62.74818366891016,0,50,62.74818366891016
0,0,62,8.066090034749066e-06
0,0,58,7.804218777042196e-06
0,0,56,7.427936021701461e-06
0,0,60,9.079101100897759e-06
0,0,56,7.427936021701461e-06
62.74817811299228,0,56,62.74817811299228
0,0,62,6.312592201107964e-06
55.999993706951614,0,50,55.999993706951614
0,0,62,6.487941984472074e-06
62.74818037594345,0,54,62.74818037594345
0,0,62,7.715390468020845e-06
0,0,62,6.838641551200295e-06
0,0,62,6.838641551200295e-06
0,0,60,7.376769644479426e-06
62.74818163412694,0,68,62.74818163412694
0,0,54,8.413057064564205e-06
0,0,60,8.227935372688592e-06
62.74818034137307,0,56,62.74818034137307
0,0,60,9.646544919703865e-06
62.748183754196965,0,60,62.748183754196965
0,0,60,9.079101100897759e-06
62.74818374524487,0,68,62.74818374524487
0,0,56,8.913523226041752e-06
0,0,64,8.34465370499915e-06
0,0,58,6.886075391507817e-06
0,0,58,6.886075391507817e-06
62.7481794402201,0,68,62.7481794402201
62.74818205186549,0,60,62.74818205186549
62.74817859796275,0,62,62.74817859796275
0,0,62,8.066090034749066e-06
0,0,62,6.969511738637814e-06
0,0,46,8.23770728130947e-06
0,0,58,6.597362334728452e-06
62.74818002220397,0,56,62.74818002220397
0,0,54,7.74405001562425e-06
0,0,58,7.11449045739149e-06
0,0,60,8.723409693479618e-06
62.74818048861835,0,54,62.74818048861835
62.74818204294382,0,66,62.74818204294382
0,0,62,7.670910872094259e-06
0,0,62,7.3202113053660365e-06
62.748183141654785,0,52,62.748183141654785
0,0,54,7.943578433729146e-06
0,0,46,8.23770728130947e-06
0,0,62,7.84626065545837e-06
0,0,62,8.723009572278914e-06
0,0,54,8.309771765780494e-06
0,0,54,6.497584250757177e-06
0,0,58,6.655418764624304e-06
0,0,52,8.963662103848677e-06
0,0,54,8.945915310561994e-06
51.999993706951614,0,50,51.999993706951614
0,0,62,8.021610438822473e-06
62.748178326413395,0,58,62.748178326413395
0,0,60,6.430568159507322e-06
62.748178878998175,0,56,62.748178878998175
62.74817933242599,0,58,62.74817933242599
62.74817933242599,0,58,62.74817933242599
