-18,-10.0,14.0,15
82,50.0,74.0,17
23,-9.0,15.0,17
64,62.0,64,9
-72,-8.0,184.0,21
43,-21.0,27.0,19
51,50.0,52.0,5
-100,-36.0,156.0,21
56,55.0,57.0,5
98,34.0,82.0,19
-64,0.0,192.0,21
9,-7.0,5.0,15
-87,-55.0,41.0,19
100,36.0,84.0,19
-99,-35.0,157.0,21
-63,1.0,193.0,21
-36,-20.0,28.0,17
30,-34.0,14.0,19
-16,-8.0,16.0,15
-11,-7.0,5.0,13
96,32.0,80.0,19
-83,-51.0,45.0,19
-95,-63.0,33.0,19
-48,-32.0,16.0,17
-31,-15.0,33.0,17
-72,-8.0,184.0,21
-100,-36.0,156.0,21
12,-4.0,8.0,15
-17,-9.0,15.0,15
85,53.0,77.0,17
-57,7.0,199.0,21
62,61.0,63.0,5
99,35.0,83.0,19
-1,-1,1.0,7
80,48.0,72.0,17
10,-6.0,6.0,15
-76,-12.0,180.0,21
-72,-8.0,184.0,21
0,-1.0,1.0,5
30,-34.0,14.0,19
38,-26.0,22.0,19
27,-37.0,11.0,19
-32,-16.0,32.0,17
21,-11.0,13.0,17
15,-17.0,7.0,17
19,-13.0,11.0,17
55,54.0,56.0,5
-61,3.0,195.0,21
-94,-62.0,34.0,19
-60,4.0,196.0,21
27,-37.0,11.0,19
1,-1.0,1,9
-58,6.0,198.0,21
12,-4.0,8.0,15
-76,-12.0,180.0,21
2,-2.0,1.0,11
-50,-18.0,78.0,19
27,-37.0,11.0,19
61,60.0,62.0,5
-40,-24.0,24.0,17
85,53.0,77.0,17
50,49.0,51.0,5
61,60.0,62.0,5
-29,-13.0,35.0,17
34,-30.0,18.0,19
-71,-7.0,185.0,21
53,52.0,54.0,5
11,-5.0,7.0,15
61,60.0,62.0,5
-80,-48.0,48.0,19
-84,-52.0,44.0,19
-16,-8.0,16.0,15
-46,-30.0,18.0,17
-39,-23.0,25.0,17
-14,-6.0,18.0,15
69,53.0,65.0,15
-92,-60.0,36.0,19
-93,-61.0,35.0,19
-1,-1,1.0,7
-93,-61.0,35.0,19
-88,-56.0,40.0,19
33,-31.0,17.0,19
-55,9.0,201.0,21
-57,7.0,199.0,21
-79,-47.0,49.0,19
-68,-4.0,188.0,21
-35,-19.0,29.0,17
-81,-49.0,47.0,19
-87,-55.0,41.0,19
68,60.0,66.0,13
-20,-12.0,12.0,15
-14,-6.0,18.0,15
-89,-57.0,39.0,19
49,48.0,50.0,5
66,58.0,64.0,13
-43,-27.0,21.0,17
62,61.0,63.0,5
48,47.0,49.0,5
71,55.0,67.0,15
58,57.0,59.0,5
